ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
1874.9598999999998,717.1392999999999,248.8622,0.0,7.68,1.87
1759.5682000000002,639.2106,233.5463,0.0,7.36,2.21
1786.0734999999997,656.9105000000001,237.0643,0.0,6.71,2.15
1843.3531,677.9777,244.667,0.0,7.23,2.23
1948.4407,718.8298000000001,258.6152,0.0,8.53,2.58
2101.4161,772.8922,278.9196,0.0,9.29,2.58
2255.154,834.5319000000001,299.32509999999996,0.0,9.48,2.39
2399.9836999999998,879.9928,318.54830000000004,0.0,9.36,2.37
2528.3899,921.3622,335.5915,0.0,9.0,2.58
2612.5196,946.1166000000001,346.75800000000004,6.99,8.65,2.88
2654.5071999999996,955.3245999999999,352.33099999999996,38.36,8.17,3.05
2676.6977,951.2147,355.2763,43.01,8.54,3.28
2678.4952999999996,924.6195000000001,355.51489999999995,50.88,9.25,3.75
2658.0252,887.5245,352.7979,39.12,9.66,4.4
2621.7992,884.3144,347.9897,14.98,10.07,4.9
2568.8206,875.1513,340.95779999999996,12.06,10.24,5.23
2493.0095,860.5897,330.8955,31.48,10.25,5.52
2403.9552,837.9956,319.0754,0.0,9.92,5.86
2318.2743,813.3661,307.703,0.0,9.31,6.13
2224.0525,780.3083,295.197,0.0,9.08,6.26
2125.8327,745.8480000000001,282.1604,0.0,9.0,6.32
2055.0504,723.3357,272.7655,0.0,8.92,6.36
1996.6195,705.0249,265.01,0.0,9.17,6.38
1925.7587000000003,682.1789,255.6047,0.0,9.39,6.44
1874.9598999999998,659.9475,248.8622,0.0,9.54,6.42
1759.5682000000002,619.332,233.5463,0.0,9.3,6.05
1786.0734999999997,636.7325,237.0643,0.0,8.91,5.56
1843.3531,657.1526000000001,244.667,0.0,8.58,5.41
1948.4407,696.8175,258.6152,0.0,8.32,5.51
2101.4161,775.2661999999999,278.9196,0.0,8.08,5.69
2255.154,847.2706,299.32509999999996,0.0,7.85,5.89
2399.9836999999998,888.1268000000001,318.54830000000004,0.0,7.67,6.08
2528.3899,929.9315000000001,335.5915,0.0,7.64,6.23
2612.5196,946.1166000000001,346.75800000000004,6.73,7.85,6.33
2654.5071999999996,946.3278999999999,352.33099999999996,34.42,8.07,6.38
2676.6977,942.1428,355.2763,52.38,8.22,6.41
2678.4952999999996,939.7495000000001,355.51489999999995,80.44,8.46,6.32
2658.0252,914.5504,352.7979,29.34,8.97,6.2
2621.7992,875.4284999999999,347.9897,55.58,9.36,6.02
2568.8206,875.1513,340.95779999999996,38.49,9.2,5.83
2493.0095,846.5075,330.8955,49.3,9.17,5.59
2403.9552,829.8480000000001,319.0754,0.0,9.06,5.3
2318.2743,810.7470000000001,307.703,0.0,8.98,4.95
2224.0525,780.3083,295.197,0.0,9.14,4.65
2125.8327,745.8480000000001,282.1604,0.0,9.19,4.24
2055.0504,723.3357,272.7655,0.0,9.18,3.87
1996.6195,702.7692,265.01,0.0,9.07,3.69
1925.7587000000003,684.3544999999999,255.6047,0.0,9.05,3.62
1874.9598999999998,672.6568,248.8622,0.0,9.09,3.55
1759.5682000000002,641.1984,233.5463,0.0,9.03,3.44
1786.0734999999997,656.9105000000001,237.0643,0.0,8.7,3.26
1843.3531,682.1427,244.667,0.0,8.03,3.21
1948.4407,721.0310000000001,258.6152,0.0,7.6,3.28
2101.4161,777.6403,278.9196,0.0,7.47,3.34
2255.154,829.4364,299.32509999999996,0.0,7.55,3.37
2399.9836999999998,879.9928,318.54830000000004,0.0,7.74,3.26
2528.3899,935.6443,335.5915,0.0,8.21,3.06
2612.5196,963.8254000000001,346.75800000000004,7.99,8.81,3.04
2654.5071999999996,970.3191,352.33099999999996,40.91,9.23,3.44
2676.6977,987.5024000000001,355.2763,57.26,9.5,4.03
2678.4952999999996,951.8535,355.51489999999995,123.59,9.55,4.62
2658.0252,926.5618999999999,352.7979,122.67,9.22,4.96
2621.7992,922.8197,347.9897,125.51,8.58,5.01
2568.8206,907.0742999999999,340.95779999999996,82.25,7.45,4.65
2493.0095,897.2036,330.8955,43.6,6.53,3.82
2403.9552,878.7331999999999,319.0754,6.66,6.27,2.84
